novice,label,filename,ratio_1,ratio_2,ratio_3,ratio_4,ratio_5,ratio_6,ratio_7,ratio_8,ratio_9,ratio_10,ratio_11,ratio_12,ratio_13,ratio_14,ratio_15,ratio_16,ratio_17,ratio_18,ratio_19,ratio_20,ratio_21,ratio_22,ratio_23,ratio_24,ratio_25,ratio_26,ratio_27,ratio_28
Nonlinear CNN,ID,tubingen_000010_000019_leftImg8bit.png,47453132.812126,47453132.812126,47453132.812126,47453132.812126,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,33554432.000000,33554432.000000,33554432.000000,33554432.000000,30011996.359358,27397079.002972,27397079.002972,27397079.002972,25364766.416008,22369621.333333,22369621.333333,18612650.014626
Nonlinear CNN,ID,tubingen_000011_000019_leftImg8bit.png,67108864.000000,67108864.000000,67108864.000000,67108864.000000,67108864.000000,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,38745320.695410,38745320.695410,38745320.695410,33554432.000000,33554432.000000,33554432.000000,25364766.416008,25364766.416008,23726566.406063,22369621.333333
Nonlinear CNN,ID,tubingen_000012_000019_leftImg8bit.png,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,38745320.695410,38745320.695410,38745320.695410,33554432.000000,33554432.000000,33554432.000000,33554432.000000,30011996.359358,30011996.359358,30011996.359358,27397079.002972,27397079.002972,27397079.002972,27397079.002972,27397079.002972,25364766.416008,25364766.416008,22369621.333333
Nonlinear CNN,ID,tubingen_000013_000019_leftImg8bit.png,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,33554432.000000,33554432.000000,33554432.000000,33554432.000000,33554432.000000,33554432.000000,30011996.359358,30011996.359358,25364766.416008,20234083.817726,19372660.347705,17327434.176993
Nonlinear CNN,ID,tubingen_000014_000019_leftImg8bit.png,33554432.000000,33554432.000000,33554432.000000,33554432.000000,33554432.000000,33554432.000000,33554432.000000,33554432.000000,30011996.359358,30011996.359358,30011996.359358,30011996.359358,30011996.359358,30011996.359358,30011996.359358,30011996.359358,30011996.359358,30011996.359358,30011996.359358,27397079.002972,27397079.002972,27397079.002972,25364766.416008,21221686.142648,21221686.142648,21221686.142648,20234083.817726,18612650.014626
Nonlinear CNN,ID,tubingen_000015_000019_leftImg8bit.png,67108864.000000,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,38745320.695410,38745320.695410,38745320.695410,38745320.695410,33554432.000000,33554432.000000,33554432.000000,33554432.000000,30011996.359358,27397079.002972,27397079.002972,25364766.416008,23726566.406063,23726566.406063,22369621.333333
Nonlinear CNN,ID,tubingen_000016_000019_leftImg8bit.png,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,33554432.000000,33554432.000000,30011996.359358,30011996.359358,22369621.333333,21221686.142648,21221686.142648,20234083.817726,18612650.014626
Nonlinear CNN,ID,tubingen_000017_000019_leftImg8bit.png,67108864.000000,67108864.000000,67108864.000000,67108864.000000,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,33554432.000000,33554432.000000,33554432.000000,33554432.000000,33554432.000000,33554432.000000,27397079.002972,27397079.002972,25364766.416008,23726566.406063,23726566.406063,21221686.142648
Nonlinear CNN,ID,tubingen_000018_000019_leftImg8bit.png,67108864.000000,67108864.000000,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,38745320.695410,38745320.695410,38745320.695410,38745320.695410,33554432.000000,33554432.000000,33554432.000000,30011996.359358,30011996.359358,30011996.359358,27397079.002972,27397079.002972,25364766.416008,23726566.406063,23726566.406063,23726566.406063,23726566.406063
Nonlinear CNN,ID,tubingen_000019_000019_leftImg8bit.png,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,33554432.000000,30011996.359358,30011996.359358,30011996.359358,25364766.416008,23726566.406063,23726566.406063,22369621.333333,22369621.333333,22369621.333333
Nonlinear CNN,ID,tubingen_000020_000019_leftImg8bit.png,67108864.000000,67108864.000000,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,33554432.000000,33554432.000000,33554432.000000,30011996.359358,25364766.416008,25364766.416008,23726566.406063,23726566.406063,23726566.406063,23726566.406063,21221686.142648
Nonlinear CNN,ID,tubingen_000021_000019_leftImg8bit.png,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,33554432.000000,33554432.000000,33554432.000000,33554432.000000,33554432.000000,33554432.000000,33554432.000000,30011996.359358,30011996.359358,30011996.359358,30011996.359358,27397079.002972,27397079.002972,23726566.406063,19372660.347705
Nonlinear CNN,ID,tubingen_000022_000019_leftImg8bit.png,47453132.812126,47453132.812126,47453132.812126,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,33554432.000000,33554432.000000,33554432.000000,33554432.000000,30011996.359358,30011996.359358,30011996.359358,30011996.359358,30011996.359358,27397079.002972,27397079.002972,25364766.416008,25364766.416008,25364766.416008,22369621.333333,22369621.333333
Nonlinear CNN,ID,tubingen_000023_000019_leftImg8bit.png,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,33554432.000000,33554432.000000,30011996.359358,30011996.359358,30011996.359358,30011996.359358,30011996.359358,27397079.002972,23726566.406063,22369621.333333,22369621.333333,21221686.142648,20234083.817726,19372660.347705
Nonlinear CNN,ID,tubingen_000024_000019_leftImg8bit.png,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,38745320.695410,38745320.695410,38745320.695410,38745320.695410,33554432.000000,33554432.000000,33554432.000000,33554432.000000,33554432.000000,30011996.359358,30011996.359358,30011996.359358,27397079.002972,27397079.002972,23726566.406063,21221686.142648,21221686.142648,21221686.142648,20234083.817726
Nonlinear CNN,ID,tubingen_000025_000019_leftImg8bit.png,67108864.000000,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,33554432.000000,33554432.000000,30011996.359358,27397079.002972,27397079.002972,25364766.416008,25364766.416008,23726566.406063,23726566.406063,22369621.333333,21221686.142648,18612650.014626
Nonlinear CNN,ID,tubingen_000026_000019_leftImg8bit.png,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,38745320.695410,38745320.695410,38745320.695410,38745320.695410,33554432.000000,33554432.000000,33554432.000000,33554432.000000,33554432.000000,30011996.359358,30011996.359358,30011996.359358,30011996.359358,27397079.002972,25364766.416008,25364766.416008,23726566.406063,23726566.406063,23726566.406063,23726566.406063,22369621.333333,21221686.142648,17935598.335972
Nonlinear CNN,ID,tubingen_000027_000019_leftImg8bit.png,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,33554432.000000,33554432.000000,33554432.000000,33554432.000000,33554432.000000,33554432.000000,33554432.000000,33554432.000000,33554432.000000,33554432.000000,30011996.359358,30011996.359358,30011996.359358,27397079.002972,27397079.002972,27397079.002972,25364766.416008,25364766.416008,22369621.333333,19372660.347705
Nonlinear CNN,ID,tubingen_000028_000019_leftImg8bit.png,47453132.812126,47453132.812126,47453132.812126,47453132.812126,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,33554432.000000,33554432.000000,33554432.000000,33554432.000000,33554432.000000,33554432.000000,30011996.359358,30011996.359358,27397079.002972,25364766.416008,25364766.416008,25364766.416008,25364766.416008,22369621.333333,21221686.142648
Nonlinear CNN,ID,tubingen_000029_000019_leftImg8bit.png,67108864.000000,67108864.000000,67108864.000000,67108864.000000,67108864.000000,67108864.000000,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,38745320.695410,38745320.695410,38745320.695410,33554432.000000,33554432.000000,33554432.000000,33554432.000000,30011996.359358,25364766.416008,23726566.406063,20234083.817726
Nonlinear CNN,ID,tubingen_000030_000019_leftImg8bit.png,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,33554432.000000,33554432.000000,33554432.000000,33554432.000000,33554432.000000,33554432.000000,33554432.000000,33554432.000000,33554432.000000,33554432.000000,27397079.002972,27397079.002972,27397079.002972,25364766.416008,25364766.416008,23726566.406063,22369621.333333
Nonlinear CNN,ID,tubingen_000031_000019_leftImg8bit.png,67108864.000000,67108864.000000,67108864.000000,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,33554432.000000,33554432.000000,30011996.359358,30011996.359358,27397079.002972,23726566.406063,23726566.406063,22369621.333333,20234083.817726,17327434.176993
Nonlinear CNN,ID,tubingen_000032_000019_leftImg8bit.png,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,33554432.000000,33554432.000000,33554432.000000,33554432.000000,30011996.359358,30011996.359358,30011996.359358,30011996.359358,27397079.002972,27397079.002972,23726566.406063,22369621.333333,21221686.142648,21221686.142648,20234083.817726
Nonlinear CNN,ID,tubingen_000033_000019_leftImg8bit.png,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,33554432.000000,33554432.000000,33554432.000000,33554432.000000,30011996.359358,27397079.002972,27397079.002972,25364766.416008,25364766.416008,23726566.406063,22369621.333333
Nonlinear CNN,ID,tubingen_000034_000019_leftImg8bit.png,47453132.812126,47453132.812126,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,27397079.002972,27397079.002972,27397079.002972,25364766.416008,25364766.416008,25364766.416008,25364766.416008,23726566.406063,22369621.333333,19372660.347705
Nonlinear CNN,ID,tubingen_000035_000019_leftImg8bit.png,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,33554432.000000,27397079.002972,27397079.002972,25364766.416008,25364766.416008,25364766.416008,25364766.416008,25364766.416008,23726566.406063
Nonlinear CNN,ID,tubingen_000036_000019_leftImg8bit.png,67108864.000000,67108864.000000,67108864.000000,67108864.000000,67108864.000000,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,38745320.695410,38745320.695410,38745320.695410,38745320.695410,33554432.000000,33554432.000000,30011996.359358,27397079.002972,27397079.002972,27397079.002972,25364766.416008,25364766.416008,25364766.416008,22369621.333333
Nonlinear CNN,ID,tubingen_000037_000019_leftImg8bit.png,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,33554432.000000,33554432.000000,33554432.000000,33554432.000000,30011996.359358,30011996.359358,30011996.359358,27397079.002972,27397079.002972,25364766.416008,21221686.142648,20234083.817726,20234083.817726
Nonlinear CNN,ID,tubingen_000038_000019_leftImg8bit.png,47453132.812126,47453132.812126,47453132.812126,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,33554432.000000,33554432.000000,33554432.000000,33554432.000000,33554432.000000,33554432.000000,30011996.359358,30011996.359358,30011996.359358,25364766.416008,23726566.406063,23726566.406063,20234083.817726,19372660.347705,18612650.014626
Nonlinear CNN,ID,tubingen_000039_000019_leftImg8bit.png,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,33554432.000000,33554432.000000,33554432.000000,33554432.000000,30011996.359358,25364766.416008,25364766.416008,23726566.406063,22369621.333333
Nonlinear CNN,ID,tubingen_000040_000019_leftImg8bit.png,67108864.000000,67108864.000000,67108864.000000,67108864.000000,67108864.000000,67108864.000000,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,33554432.000000,33554432.000000,33554432.000000,33554432.000000,30011996.359358,30011996.359358,30011996.359358,27397079.002972,25364766.416008,23726566.406063,23726566.406063,22369621.333333
Nonlinear CNN,ID,tubingen_000041_000019_leftImg8bit.png,47453132.812126,47453132.812126,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,33554432.000000,33554432.000000,33554432.000000,33554432.000000,33554432.000000,33554432.000000,33554432.000000,30011996.359358,27397079.002972,27397079.002972,25364766.416008,23726566.406063,22369621.333333,18612650.014626
Nonlinear CNN,ID,tubingen_000042_000019_leftImg8bit.png,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,33554432.000000,33554432.000000,33554432.000000,33554432.000000,33554432.000000,33554432.000000,33554432.000000,30011996.359358,30011996.359358,23726566.406063,22369621.333333,21221686.142648,20234083.817726,20234083.817726
Nonlinear CNN,ID,tubingen_000043_000019_leftImg8bit.png,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,33554432.000000,33554432.000000,33554432.000000,33554432.000000,30011996.359358,30011996.359358,30011996.359358,27397079.002972,25364766.416008,25364766.416008,23726566.406063,23726566.406063,22369621.333333,21221686.142648,21221686.142648
Nonlinear CNN,ID,tubingen_000044_000019_leftImg8bit.png,67108864.000000,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,33554432.000000,30011996.359358,27397079.002972,27397079.002972,27397079.002972,23726566.406063,23726566.406063,22369621.333333,22369621.333333
Nonlinear CNN,ID,tubingen_000045_000019_leftImg8bit.png,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,33554432.000000,33554432.000000,33554432.000000,33554432.000000,30011996.359358,30011996.359358,30011996.359358,27397079.002972,27397079.002972,27397079.002972,25364766.416008,23726566.406063,23726566.406063,21221686.142648,20234083.817726
Nonlinear CNN,ID,tubingen_000046_000019_leftImg8bit.png,47453132.812126,47453132.812126,47453132.812126,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,33554432.000000,33554432.000000,33554432.000000,33554432.000000,33554432.000000,33554432.000000,30011996.359358,30011996.359358,30011996.359358,30011996.359358,30011996.359358,25364766.416008,25364766.416008,23726566.406063,23726566.406063,23726566.406063,23726566.406063
Nonlinear CNN,ID,tubingen_000047_000019_leftImg8bit.png,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,33554432.000000,33554432.000000,33554432.000000,33554432.000000,30011996.359358,30011996.359358,30011996.359358,30011996.359358,30011996.359358,30011996.359358,27397079.002972,25364766.416008,25364766.416008,23726566.406063,23726566.406063,23726566.406063,22369621.333333
Nonlinear CNN,ID,tubingen_000048_000019_leftImg8bit.png,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,33554432.000000,33554432.000000,33554432.000000,33554432.000000,33554432.000000,33554432.000000,30011996.359358,30011996.359358,30011996.359358,30011996.359358,30011996.359358,30011996.359358,25364766.416008,25364766.416008,23726566.406063,23726566.406063,22369621.333333,21221686.142648,17327434.176993
Nonlinear CNN,ID,tubingen_000049_000019_leftImg8bit.png,47453132.812126,47453132.812126,47453132.812126,47453132.812126,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,33554432.000000,33554432.000000,33554432.000000,33554432.000000,33554432.000000,33554432.000000,33554432.000000,33554432.000000,30011996.359358,30011996.359358,30011996.359358,25364766.416008,25364766.416008,25364766.416008,23726566.406063,22369621.333333,22369621.333333,21221686.142648,21221686.142648
Nonlinear CNN,ID,tubingen_000050_000019_leftImg8bit.png,inf,inf,inf,67108864.000000,67108864.000000,67108864.000000,67108864.000000,67108864.000000,67108864.000000,67108864.000000,67108864.000000,47453132.812126,47453132.812126,47453132.812126,47453132.812126,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,33554432.000000,33554432.000000,30011996.359358,30011996.359358,30011996.359358,27397079.002972,25364766.416008,23726566.406063
Nonlinear CNN,ID,tubingen_000051_000019_leftImg8bit.png,67108864.000000,67108864.000000,67108864.000000,67108864.000000,67108864.000000,67108864.000000,67108864.000000,67108864.000000,67108864.000000,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,38745320.695410,38745320.695410,33554432.000000,33554432.000000,33554432.000000,27397079.002972,25364766.416008,23726566.406063,23726566.406063,23726566.406063,22369621.333333,22369621.333333
Nonlinear CNN,ID,tubingen_000052_000019_leftImg8bit.png,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,33554432.000000,33554432.000000,33554432.000000,33554432.000000,30011996.359358,30011996.359358,27397079.002972,27397079.002972,25364766.416008,23726566.406063,22369621.333333,22369621.333333,20234083.817726,18612650.014626
Nonlinear CNN,ID,tubingen_000053_000019_leftImg8bit.png,67108864.000000,67108864.000000,67108864.000000,67108864.000000,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,38745320.695410,38745320.695410,38745320.695410,38745320.695410,33554432.000000,33554432.000000,30011996.359358,30011996.359358,27397079.002972,23726566.406063,22369621.333333,21221686.142648,20234083.817726
Nonlinear CNN,ID,tubingen_000054_000019_leftImg8bit.png,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,33554432.000000,33554432.000000,33554432.000000,30011996.359358,30011996.359358,30011996.359358,27397079.002972,27397079.002972,25364766.416008,23726566.406063,23726566.406063,23726566.406063,21221686.142648,21221686.142648
Nonlinear CNN,ID,tubingen_000055_000019_leftImg8bit.png,67108864.000000,67108864.000000,67108864.000000,67108864.000000,67108864.000000,47453132.812126,47453132.812126,47453132.812126,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,33554432.000000,33554432.000000,33554432.000000,33554432.000000,33554432.000000,30011996.359358,27397079.002972,27397079.002972,25364766.416008,25364766.416008,25364766.416008
Nonlinear CNN,ID,tubingen_000056_000019_leftImg8bit.png,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,33554432.000000,33554432.000000,30011996.359358,30011996.359358,30011996.359358,27397079.002972,27397079.002972,23726566.406063,23726566.406063,23726566.406063,22369621.333333,22369621.333333
Nonlinear CNN,ID,tubingen_000057_000019_leftImg8bit.png,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,47453132.812126,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,33554432.000000,33554432.000000,33554432.000000,33554432.000000,33554432.000000,30011996.359358,30011996.359358,30011996.359358,30011996.359358,25364766.416008,22369621.333333,22369621.333333,21221686.142648,18612650.014626
Nonlinear CNN,ID,tubingen_000058_000019_leftImg8bit.png,38745320.695410,38745320.695410,38745320.695410,38745320.695410,38745320.695410,33554432.000000,33554432.000000,33554432.000000,33554432.000000,33554432.000000,33554432.000000,33554432.000000,33554432.000000,33554432.000000,30011996.359358,30011996.359358,30011996.359358,30011996.359358,27397079.002972,27397079.002972,25364766.416008,25364766.416008,23726566.406063,23726566.406063,23726566.406063,22369621.333333,19372660.347705,17935598.335972
